,zipcode,latitude,longitude,group
10238,97980,49.4,9.91944,3
10239,97996,49.4,9.91944,3
10240,82288,48.1167,11.1333,3
10241,52249,50.8167,6.28333,2
10242,6237,51.32354,12.02457,1
10243,24994,54.797417487,9.21028440595,0
10244,4600,50.9884,12.4447,1
10245,53879,50.6667,6.78333,2
10246,53881,50.6667,6.78333,2
10247,6567,51.36166,11.0446899999999,3
10248,27446,53.41061,9.13255000000004,0
10249,24211,54.2283689504467,10.1880377698869,0
10250,97461,50.1333,10.5333,3
10251,67808,49.5833,7.8166699999999985,2
10252,14913,51.84723,13.26951,1
10253,59469,51.5023384445751,7.9648503756714,2
10254,72172,48.3624,8.6331,2
10255,25767,54.144319,9.284703,0
10256,88279,47.7,9.75,3
10257,96515,50.4,11.2167,3
10258,76479,48.9,8.18333,2
10259,19071,53.67671,11.2465099999999,0
10260,18195,54.02335,12.4929099999999,1
10261,17217,53.5356,13.13798,1
10262,14797,52.3006,12.77925,1
10263,18528,54.417015,13.541887,1
10264,79589,47.6333,7.61667,2
10265,25361,53.84210699999999,9.529661,0
10266,90556,49.45,10.8667,3
10267,1945,51.43092,13.72947,1
10268,39606,52.731730000000006,11.70949,1
10269,99091,50.9833,11.0333,3
10270,98701,50.5667,10.9667,3
10271,8491,50.5833,12.25,3
10272,74747,49.3939,9.5325,3
10273,37308,51.2310427407051,10.1668716613769,0
10274,18573,54.33685,13.31791,1
10275,24321,54.292049115078704,10.5901992082596,0
10276,1609,51.41923,13.40912,1
10277,99634,51.15,10.9167,3
10278,23996,53.77132,11.47118,0
10279,25727,54.05037,9.20955,0
10280,25873,54.4429505269028,9.164604918604528,0
10281,39356,52.31104000000001,11.05709,0
10282,65824,50.15,8.53333,2
10283,68642,49.6436,8.46,2
10284,21382,53.33274,10.44302,0
10285,36124,50.4833,9.7,3
10286,16248,52.86668,14.0454099999999,1
10287,73655,48.8,9.6,3
10288,78607,48.0167,8.66667,2
10289,56357,50.1667,7.71667,2
10290,17089,53.7892836219559,13.1684166137695,1
10291,54518,49.9167,6.95,2
10292,72793,48.45,9.23333,3
10293,8468,50.6167,12.3,3
10294,37127,51.4849569334176,9.68118423278815,0
10295,16775,53.0360670702063,13.192486708984301,1
10296,18528,54.51796,13.37856,1
10297,7366,50.4333,11.75,3
10298,16845,52.84749,12.54046,1
10299,99713,51.29336474630551,10.6954879577637,3
10300,64678,49.685,8.78306,2
10301,76857,49.2472,8.00528,2
10302,67482,49.2872,8.21611,2
10303,25364,53.8524564197053,9.67877294178487,0
10304,55758,49.7,7.5,2
10305,97286,49.7,10.0333,3
10306,89435,48.65,10.5,3
10307,31093,52.01921,9.75323000000003,0
10308,39624,52.71993000000001,11.37233,1
10309,23749,54.23522,11.03525,0
10310,86756,48.8167,10.5167,3
10311,3099,51.75023,14.25041,1
10312,23911,53.73093000000001,10.7453,0
10313,86529,48.55,11.2667,3
10314,6577,51.276285151722405,11.182913761902,3
10315,94330,48.85,12.6167,3
10316,49134,52.34983,8.00625000000002,0
10317,79694,47.8,7.91667,2
10318,15320,52.6811,14.2541,1
10319,97355,49.7667,10.35,3
10320,91567,49.2333,10.5167,3
10321,16348,52.80885,13.58685,1
10322,4720,51.1,13.1,1
10323,92366,49.2,11.85,3
10324,55270,49.8831,8.20111,2
10325,34311,51.24818,9.16863000000001,2
10326,60437,50.1167,8.68333,2
10327,60438,50.1167,8.68333,2
10328,60439,50.1167,8.68333,2
10329,83368,47.96666670000001,12.5666667,3
10330,14532,52.3617886218498,13.2349226666259,1
10331,17087,53.69177555949229,13.247124671936,1
10332,27432,53.52641,9.05169000000001,0
10333,67722,49.5667,7.85,2
10334,14789,52.40283,12.33204,1
10335,73463,48.8833,10.1833,3
10336,68163,49.4883,8.46472,2
10337,18258,53.97598000000001,12.10328,1
10338,23815,53.91966,10.48819,0
10339,75015,49.0392,8.70278,2
10340,18299,53.94044,12.30196,1
10341,24629,53.80993,10.00841,0
10342,86561,48.5333,11.3,3
10343,30989,52.31227,9.600630000000018,0
10344,66879,49.4667,7.46667,2
10345,6313,51.55291,11.47189,1
10346,71696,48.8833,9.13333,2
10347,18573,54.3519,13.12977,1
10348,19209,53.65335,11.17468,0
10349,9599,50.9167,13.3667,1
10350,54636,49.9,6.46667,2
10351,56291,50.0333,7.6,2
10352,25882,54.35208194100601,8.828052330446141,0
10353,25853,54.581209702710105,9.04379300773145,0
10354,86911,47.95,11.1,3
10355,39326,52.36047,11.72923,1
10356,98597,50.7667,10.3333,3
10357,25557,54.1314592535068,9.351818413978382,0
10358,14793,52.2331901579712,12.322125174560599,1
10359,79843,47.8833,8.35,2
10360,98660,50.4833,10.6333,3
10361,26524,53.5893,7.311210000000001,0
10362,56244,50.5833,7.8,2
10363,97618,50.3167,10.1833,3
10364,39579,52.62674000000001,11.61776,1
10365,79859,47.8167,8.18333,2
10366,94362,48.9833,12.7667,3
10367,18574,54.31651,13.35025,1
10368,21756,53.69471,9.18924,0
10369,2994,51.38845,14.02784,1
10370,38465,52.6005,10.93559,0
10371,56249,50.5833,7.73333,2
10372,91804,48.8833,11.0,3
10373,18184,54.10286,12.27639,1
10374,23795,53.96213,10.32085,0
10375,25862,54.68111169251871,9.149629622697839,0
10376,17392,53.77282,13.6300200000001,1
10377,21493,53.59609,10.4883,0
10378,15910,52.0462,13.8489,1
10379,97833,50.0667,9.46667,2
10380,39649,52.47444,11.2613699999999,1
10381,31609,52.7184,9.18648,0
10382,25712,53.993371248412195,9.277308320930329,0
10383,19089,53.6184155207908,11.7004733862304,1
10384,51702,51.0333,7.65,2
10385,23795,53.938233,10.305231,0
10386,56357,50.2667,7.78333,2
10387,3226,51.78459,14.06655,1
10388,38709,51.82898,10.28248,0
10389,59320,51.84053,8.03056000000004,2
10390,99628,51.1333,11.3667,3
10391,17213,53.45473000000001,12.51891,1
10392,16792,53.007827,13.345542000000002,1
10393,39599,52.57827,11.70857,1
10394,6456,51.7271,11.51404,1
10395,6449,51.777777777777004,11.488888888887999,1
10396,24392,54.633058,9.858401,0
10397,63849,49.9014,9.22167,2
10398,51766,50.9833,7.4,2
10399,72202,48.55,8.71667,2
10400,16269,52.6675,14.10556,1
10401,15345,52.6675,14.10556,1
10402,8439,50.7333,12.3833,3
10403,38440,52.43788000000001,10.7663700000001,0
10404,38442,52.43788000000001,10.7663700000001,0
